url,price,title
https://www.olx.com.pk/item/eastern-star-remote-IDWHF6i.html,Rs 100,Eastern star remote
https://www.olx.com.pk/item/sony-bravia-52-smart-wifi-uhd-led-1-year-warranty-IDWHF4p.html,"Rs 43,000",Sony bravia 52 smart wifi uhd led 1 year warranty
https://www.olx.com.pk/item/dany-tv-device-IDWHF65.html,"Rs 1,000",Dany TV device
https://www.olx.com.pk/item/rha-ma750-premium-hifi-iem-headphones-IDWHF6y.html,"Rs 10,000","RHA MA750, Premium hifi IEm headphones"
https://www.olx.com.pk/item/dish-tv-antenna-IDWmcj9.html,"Rs 9,500",Dish tv antenna
https://www.olx.com.pk/item/most-popular-smart42size-sony-aur-samsung-android-led-tvs-rs-28k-IDWD2Ns.html,"Rs 28,000",Most Popular Smart^42''Size Sony Aur Samsung Android Led Tv's Rs.28k
https://www.olx.com.pk/item/panasonic-21-original-tv-IDWHF4D.html,"Rs 5,500","Panasonic 21"" original TV"
https://www.olx.com.pk/item/great-design-model-offer-new-42-inch-led-lcd-tv-fhd-samsung-series-k80-IDW7C2K.html,"Rs 26,900",Great design model offer new 42 inch led/lcd tv FHD samsung Series K80
https://www.olx.com.pk/item/pioneer-dts-7-1-channel-amplifeir-IDWHF8f.html,"Rs 16,000",Pioneer Dts 7.1 Channel Amplifeir
https://www.olx.com.pk/item/samsung-tv-17-inch-IDWHF9c.html,"Rs 5,000",Samsung tv 17 inch
https://www.olx.com.pk/item/dish-tv-hd-recorder-IDWmncF.html,"Rs 11,500",Dish Tv HD + Recorder.
https://www.olx.com.pk/item/shandaar-big-offer-70-led-curve-sony-bravia-IDUZf5Z.html,"Rs 1,38,500","Shandaar big Offer 70""LED Curve SONY bravia"
https://www.olx.com.pk/item/mafia-3-game-on-pc-into-1-to-11-disks-please-read-add-100-working-IDWHxBa.html,Rs 490,MAFIA 3 GAME on pc into 1 to 11 disks (please read add 100% WORKING)
https://www.olx.com.pk/item/playstation-2-IDWGZYY.html,"Rs 10,000",PlayStation 2
https://www.olx.com.pk/item/ps4-xbox-wireless-gaming-joystick-for-pc-IDWHfBQ.html,"Rs 2,499",Ps4/xbox Wireless Gaming Joystick for PC
https://www.olx.com.pk/item/pokemon-sun-3ds-IDWDozE.html,"Rs 2,500",Pokemon Sun 3ds
https://www.olx.com.pk/item/xbox-one-s-wireless-controller-IDWCPVE.html,"Rs 5,000",Xbox one s wireless controller
https://www.olx.com.pk/item/xbox-one-500-gb-with-5-games-IDWEze8.html,"Rs 35,000",Xbox One 500 GB with 5 games
https://www.olx.com.pk/item/latest-model-ps4-slim-reg-all-xbox1s-plz-call-or-visit-IDWB3Ai.html,"Rs 34,500",Latest model PS4 slim reg all . xbox1s plz call or visit
https://www.olx.com.pk/item/xbox360-slim-250gb-jtag-modified-2wireless-controller-with-assesories-IDWHE2S.html,"Rs 16,000",Xbox360 Slim 250Gb JTag Modified 2Wireless Controller With Assesories
https://www.olx.com.pk/item/rainbow-six-siege-ps4-IDWHxFs.html,"Rs 2,500",Rainbow Six Siege PS4
https://www.olx.com.pk/item/rise-of-the-tomb-raider-ps4-IDWFY9F.html,"Rs 2,200",Rise of the tomb Raider PS4
https://www.olx.com.pk/item/home-controller-with-the-bluetooth-connection-for-android-phones-IDWHE5w.html,"Rs 1,100",Home controller with the bluetooth connection for android phones.
https://www.olx.com.pk/item/ps4-fifa-18-on-sale-used-brand-new-IDWHE4B.html,"Rs 6,000",Ps4 Fifa 18 on Sale Used / Brand New
https://www.olx.com.pk/item/xbox-360-250gb-with-kinect-IDWHE5Z.html,"Rs 22,000",Xbox 360 (250GB) With Kinect
https://www.olx.com.pk/item/gta-v-ps4-reg-all-IDWFYaH.html,"Rs 3,200",Gta V Ps4 Reg All
